Current Level: SlidePuzzleEasy1, Difficulty: 0, Excitement: 0.492215, Focus: 0.224953, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleEasy1, Difficulty: 0, Excitement: 0.46172, Focus: 0.214751, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleEasy2, Difficulty: 1, Excitement: 0.331665, Focus: 0.320439, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleMedium1, Difficulty: 1, Excitement: 0.524235, Focus: 0.151401, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleMedium2, Difficulty: 1, Excitement: 0.415634, Focus: 0.2432155, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleMedium3, Difficulty: 2, Excitement: 0.3477485, Focus: 0.2428835, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleHard1, Difficulty: 2, Excitement: 0.341815, Focus: 0.1843175, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleHard2, Difficulty: 2, Excitement: 0.286273666666667, Focus: 0.137579, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleEasy3, Difficulty: 0, Excitement: 0.403022, Focus: 0.214028, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleEasy1, Difficulty: 0, Excitement: 0, Focus: 0, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleEasy1, Difficulty: 0, Excitement: 0, Focus: 0, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleEasy2, Difficulty: 0, Excitement: 0, Focus: 0, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleEasy1, Difficulty: 0, Excitement: 0, Focus: 0, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleEasy1, Difficulty: 0, Excitement: 0, Focus: 0, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleEasy2, Difficulty: 0, Excitement: 0, Focus: 0, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleEasy1, Difficulty: 0, Excitement: 0, Focus: 0, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleEasy1, Difficulty: 0, Excitement: 0.530284, Focus: 0.292476, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleEasy2, Difficulty: 0, Excitement: 0, Focus: 0, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleEasy3, Difficulty: 0, Excitement: 0.41026, Focus: 0.333004, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleMedium1, Difficulty: 1, Excitement: 0.50123, Focus: 0.240894, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleMedium2, Difficulty: 1, Excitement: 0.504558, Focus: 0.299516, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleMedium3, Difficulty: 1, Excitement: 0.519255, Focus: 0.214032, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleEasy1, Difficulty: 0, Excitement: 0, Focus: 0, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleEasy1, Difficulty: 0, Excitement: 0, Focus: 0, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleEasy2, Difficulty: 0, Excitement: 0, Focus: 0, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleEasy3, Difficulty: 0, Excitement: 0, Focus: 0, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleMedium1, Difficulty: 1, Excitement: 0, Focus: 0, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
Current Level: SlidePuzzleMedium2, Difficulty: 1, Excitement: 0, Focus: 0, New Modifiers: Harder: False, Easier: False, Darkness: False, Lock Movement: False, Remove Piece: False
